Title,Abstract,URLs,Protocols
20-year mean and standard deviation probability that the seafloor is below the halocline in the Baltic ÔÇô Version 2022,"Based on DHI operational Hydrodynamic 3D Model DKBS2hd model run results, a point dataset describing for each year the probability of a certain seabed location in the Baltic Sea being located below the deep halocline was created. The spatial coverage was the Baltic Sea. The spatial resolution was 5km. The temporal coverage was 20 years (2001-2020). The 2 rasters made available here result from interpolation of the point dataset, and represent 20-year probability (respectively average and standard deviation) values.
The development of the original point dataset was funded by the EMODnet lot ÔÇÿSeabed HabitatsÔÇÖ for use in the development of the EUSeaMap product, more specifically in modeling the spatial distribution of the biological zones ÔÇÿcircalittoralÔÇÖ and ÔÇÿoffshore circalittoralÔÇÖ. According to the EUNIS habitat classification, in the Baltic Sea the circalittoral is above the halocline/pycnocline, while the offshore circalittoral is below.","https://gis.ices.dk/geonetwork/srv/eng/catalog.search#/metadata/9e4edb30-aefb-4551-9c6f-7cf324b4edb3; 
https://files.emodnet-seabedhabitats.eu/data/prob_deep_halocline_mean_sd_raster.zip","WWW:LINK; 
WWW:LINK-1.0-http--link"
"Amphiura, Abra nitida, Galathowenia oculata, Ennucula tenuis, Thyasira flexuosa, Nucula nitidosa, Diplocirrus glaucus abundance model in Baltic Sea","Data represents the abundance of benthic community with Amphiura, Abra nitida, Galathowenia oculata, Ennucula tenuis, Thyasira flexuosa, Nucula nitidosa, Diplocirrus glaucusinthe Baltic Sea. Baltic wide benthic community analysis is done based on the abundance and biomass data averaged for all sampling events in within 5 km grid cell based on the harmonised dataset that comprises data at over 7000 locations mostly sampled in period 2000-2013. Random Forest model was used for spatial interpolation.Original data can be downloaded: http://gis.ices.dk/gis/rest/services/ExternalDatasets/Benthic/MapServer. For EMODnet Seabed habitat portal the original dataset was separated as presence-absence grids per identified benthic community in the original article.","https://www.emodnet-seabedhabitats.eu/access-data/launch-map-viewer/?LAYERS=EUSM2016&Y=39&X=-8.525390623910205&zoom=5&center=10.400,58.700&layerIds=977&baseLayerId=-3&activeFilters=",WWW:LINK-1.0-http--link
Baltic Sea - Beach litter aggregated datasets 2011/2023 v2024,"EMODnet Chemistry aims to provide access to marine chemistry data sets and derived data products concerning eutrophication, ocean acidification, contaminants and litter. The chosen parameters are relevant for  the Marine Strategy Framework Directive (MSFD), in particular for descriptors 5, 8, 9 and 10. The dataset contains standardized, harmonized and validated data collections from beach litter (monitoring and other sources). 
Datasets concerning beach and seafloor litter data are loaded in a central database after a semi-automated validation phase. Once loaded, a data assessment is performed in order to check data consistency and potential errors are corrected thanks to a feedback loop with data originators.
For beach litter, the harmonized datasets contain all unrestricted EMODnet Chemistry data on beach litter, including monitoring data, data from cleaning surveys and data from research. A relevant part of the monitoring data has been considered for assessment purposes by the European institutions and therefore is tagged as MSFD_monitoring. EMODnet beach litter data and databases are hosted and maintained by 'Istituto Nazionale di Oceanografia e di Geofisica Sperimentale, Division of Oceanography (OGS/NODC)' from Italy.
Data are formatted following Guidelines and forms for gathering marine litter data, which can be found at: https://doi.org/10.6092/15c0d34c-a01a-4091-91ac-7c4f561ab508
The updated vocabularies of admitted values are available at:
https://nodc.ogs.it/marinelitter/vocab
The harmonized datasets can be downloaded as EMODnet Beach litter data format  Version 7.0, which is a spreadsheet file composed of 4 sheets: beach metadata, survey metadata, animals and litter. Local_CDI field in the survey metadata sheet allows to retrieve the original data.","https://nodc.ogs.it/repository/aggregated-datasets/litter/EMODnet_beachLitter_Baltic_2024_unrestricted.zip; 
https://doi.org/10.13120/7e639150-2f23-4d1c-a563-03dd15d84a3c","WWW:DOWNLOAD-1.0-link--download; 
DOI"
Baltic Sea - Contaminants aggregated datasets 1972/2017 v2018,"EMODnet Chemistry aims to provide access to marine chemistry data sets and derived data products concerning eutrophication, ocean acidification and contaminants. The chemicals chosen reflect importance to the Marine Strategy Framework Directive (MSFD). This regional aggregated dataset contains all unrestricted EMODnet Chemistry data on contaminants (49 parameters), and covers the Baltic Sea with 3818 CDI records divided per matrices: 1358 biota (396 Vertical profiles and 962 Time series),906 water profiles, 2510 sediment profiles. Vertical profiles temporal range is from 1985-04-16 to 2016-09-27. Time series temporal range is from 1972-05-02 to 2017-10-30. Data were aggregated and quality controlled by ‘Swedish Meteorological and Hydrological Institute (SMHI)’ from Sweden.	
Regional datasets concerning contaminants are automatically harvested. Parameter names in these datasets are based on P01, BODC Parameter Usage Vocabulary, which is available at: http://seadatanet.maris2.nl/bandit/browse_step.php . Each measurement value has a quality flag indicator. The resulting data collections for each Sea Basin are harmonised, and the collections are quality controlled by EMODnet Chemistry Regional Leaders using ODV Software and following a common methodology for all Sea Regions. 
Harmonisation means that: (1) unit conversion is carried out to express contaminant concentrations with a limited set of measurement units (according to EU directives 2013/39/UE; Comm. Dec. EU 2017/848) and (2) merging of variables described by different “local names” ,but corresponding exactly to the same concepts in BODC P01 vocabulary.
The harmonised dataset can be downloaded as ODV spreadsheet (TXT file), which is composed of metadata header followed by tab separated values. This worksheet can be imported to ODV Software for visualisation (More information can be found at: https://www.seadatanet.org/Software/ODV ).
The same dataset is offered also as XLSX file in a long/vertical format, in which each P01 measurement is a record line. Additionally, there are a series of columns that split P01 terms in subcomponents (measure, substance, CAS number, matrix...).This transposed format is more adapted to worksheet applications users (e.g. LibreOffice Calc).
The 49 parameter names in this metadata record are based on P02, SeaDataNet Parameter Discovery Vocabulary, which is available at: http://seadatanet.maris2.nl/v_bodc_vocab_v2/vocab_relations.asp?lib=P02 .
Detailed documentation will be published soon.
The original datasets can be searched and downloaded from EMODnet Chemistry Download Service: https://emodnet-chemistry.maris.nl/search","https://doi.org/10.6092/q0er-ss61; 
https://nodc.ogs.it/repository/aggregated-datasets/contaminants/EMD_Contaminants_Baltic_2018_unrestricted.zip","DOI; 
WWW:DOWNLOAD-1.0-link--download"
Baltic Sea - Contaminants aggregated datasets 1972/2021 v2024,"EMODnet Chemistry aims to provide access to marine chemistry datasets and derived data products concerning eutrophication, acidity and contaminants. The importance of the selected substances and other parameters relates to the Marine Strategy Framework Directive (MSFD). This aggregated dataset contains all unrestricted EMODnet Chemistry data on potential hazardous substances, despite the fact that some data might not be related to pollution (e.g. collected by deep corer). Temperature, salinity and additional parameters are included when available. It covers the Baltic Sea. Data were harmonised and validated by the ‘Swedish Meteorological and Hydrological Institute (SMHI)’ in Sweden.	
The dataset contains water, sediment and biota profiles. The temporal coverage is 1987–2021 for water measurements, 1974–2021 for sediment measurements and 1972-2021 for biota measurements.
Regional datasets concerning contaminants are automatically harvested and the resulting collections are harmonised and validated using ODV Software and following a common methodology for all sea regions ( https://doi.org/10.6092/8b52e8d7-dc92-4305-9337-7634a5cae3f4 ). Parameter names are based on P01 vocabulary, which relates to BODC Parameter Usage Vocabulary and is available at: https://vocab.nerc.ac.uk/search_nvs/P01/ .
The harmonised dataset can be downloaded as as an ODV spreadsheet, which is composed of a metadata header followed by tab separated values. This spreadsheet can be imported into ODV Software for visualisation (more information can be found at: https://www.seadatanet.org/Software/ODV ). In addition, the same dataset is offered also as a txt file in a long/vertical format, in which each P01 measurement is a record line. Additionally, there are a series of columns that split P01 terms into subcomponents (substance, CAS number, matrix...).This transposed format is more adapted to worksheet applications (e.g. LibreOffice Calc).","https://emodnet-chemistry.webodv.awi.de/; 
https://nodc.ogs.it/repository/aggregated-datasets/contaminants/EMD_Contaminants_Baltic_2024_unrestricted.zip; 
https://doi.org/10.6092/8b52e8d7-dc92-4305-9337-7634a5cae3f4; 
https://doi.org/10.13120/5784540a-982a-477d-a9ff-ff39b576fab9","WWW:LINK; 
WWW:DOWNLOAD-1.0-link--download; 
WWW:LINK-1.0-http--link; 
DOI"
Baltic Sea - Contaminants aggregated datasets 1974/2018 v2021,"EMODnet Chemistry aims to provide access to marine chemistry data sets and derived data products concerning eutrophication, ocean acidification and contaminants. The chemicals chosen reflect importance to the Marine Strategy Framework Directive (MSFD). This regional aggregated dataset contains all unrestricted EMODnet Chemistry data on contaminants; temperature, salinity and additional sampling parameters are included when available. The spatial coverage is the Baltic Sea with 3186 CDI records divided per matrices:  808 water profiles, 1556 sediment profiles and 822 biota profiles. For water, vertical profiles temporal range is from 1999-05-15 to 2018-08-27. For sediment, vertical profiles temporal range is from 1974-04-25 to 2018-08-27. For biota, vertical profiles temporal range is from 1998-09-14 to 2018-10-01. Data were aggregated and quality controlled by ‘Swedish Meteorological and Hydrological Institute (SMHI)’ from Sweden.	
Regional datasets concerning contaminants are automatically harvested. Parameter names in these datasets are based on P01, BODC Parameter Usage Vocabulary, which is available at: https://vocab.seadatanet.org/p01-facet-search. Each measurement value has a quality flag indicator. The resulting data collections for each Sea Basin are harmonised, and the collections are quality controlled by EMODnet Chemistry Regional Leaders using ODV Software and following a common methodology for all Sea Regions. 
Harmonisation means that: (1) unit conversion is carried out to express contaminant concentrations with a limited set of measurement units (according to EU directives 2013/39/UE; Comm. Dec. EU 2017/848) and (2) merging of variables described by different “local names” ,but corresponding exactly to the same concepts in BODC P01 vocabulary.
Detailed documentation is available at: https://doi.org/10.6092/8b52e8d7-dc92-4305-9337-7634a5cae3f4
Explore and extract data at: https://emodnet-chemistry.webodv.awi.de/contaminants%3EBaltic
The harmonised dataset can also be downloaded as ODV spreadsheet (TXT file), which is composed of metadata header followed by tab separated values. This worksheet can be imported to ODV Software for visualisation (More information can be found at: https://www.seadatanet.org/Software/ODV ).
The same dataset is offered also as XLSX file in a long/vertical format, in which each P01 measurement is a record line. Additionally, there are a series of columns that split P01 terms in subcomponents (measure, substance, CAS number, matrix...).This transposed format is more adapted to worksheet applications users (e.g. LibreOffice Calc).
The original datasets can be searched and downloaded from EMODnet Chemistry Chemistry CDI Data and Discovery Access Service: https://emodnet-chemistry.maris.nl/search","https://doi.org/10.6092/28y3-th08; 
https://emodnet-chemistry.webodv.awi.de/; 
https://nodc.ogs.it/repository/aggregated-datasets/contaminants/EMD_Contaminants_Baltic_2021_unrestricted.zip","DOI; 
WWW:LINK; 
WWW:DOWNLOAD-1.0-link--download"
Baltic Sea - Contaminants aggregated datasets 1974/2021 v2022,"EMODnet Chemistry aims to provide access to marine chemistry datasets and derived data products concerning eutrophication, acidity and contaminants. The importance of the selected substances and other parameters relates to the Marine Strategy Framework Directive (MSFD). This aggregated dataset contains all unrestricted EMODnet Chemistry data on potential hazardous substances, despite the fact that some data might not be related to pollution (e.g. collected by deep corer). Temperature, salinity and additional parameters are included when available. It covers the Baltic Sea. Data were harmonised and validated by the ‘Swedish Meteorological and Hydrological Institute (SMHI)’ in Sweden.	
The dataset contains water, sediment and biota profiles. The temporal coverage is 1987–2021 for water measurements, 1974–2021 for sediment measurements and 1998-2021 for biota measurements.
Regional datasets concerning contaminants are automatically harvested and the resulting collections are harmonised and validated using ODV Software and following a common methodology for all sea regions ( https://doi.org/10.6092/8b52e8d7-dc92-4305-9337-7634a5cae3f4). Parameter names are based on P01 vocabulary, which relates to BODC Parameter Usage Vocabulary and is available at: https://vocab.nerc.ac.uk/search_nvs/P01/.
The harmonised dataset can be downloaded as as an ODV spreadsheet, which is composed of a metadata header followed by tab separated values. This spreadsheet can be imported into ODV Software for visualisation (more information can be found at: https://www.seadatanet.org/Software/ODV). In addition, the same dataset is offered also as a txt file in a long/vertical format, in which each P01 measurement is a record line. Additionally, there are a series of columns that split P01 terms into subcomponents (substance, CAS number, matrix...).This transposed format is more adapted to worksheet applications (e.g. LibreOffice Calc).","https://doi.org/10.13120/dd1ffcfb-38be-4a9a-98d7-2c34a514438f; 
https://emodnet-chemistry.webodv.awi.de/; 
https://nodc.ogs.it/repository/aggregated-datasets/contaminants/EMD_Contaminants_Baltic_2022_unrestricted.zip; 
https://doi.org/10.6092/8b52e8d7-dc92-4305-9337-7634a5cae3f4","DOI; 
WWW:LINK-1.0-http--link"
Baltic Sea - Contaminants aggregated datasets 1974/2021 v2023,"EMODnet Chemistry aims to provide access to marine chemistry datasets and derived data products concerning eutrophication, acidity and contaminants. The importance of the selected substances and other parameters relates to the Marine Strategy Framework Directive (MSFD). This aggregated dataset contains all unrestricted EMODnet Chemistry data on potential hazardous substances, despite the fact that some data might not be related to pollution (e.g. collected by deep corer). Temperature, salinity and additional parameters are included when available. It covers the Baltic Sea. Data were harmonised and validated by the ‘Swedish Meteorological and Hydrological Institute (SMHI)’ in Sweden.	
The dataset contains water, sediment and biota profiles. The temporal coverage is 1987–2021 for water measurements, 1974–2021 for sediment measurements and 1972-2021 for biota measurements.
Regional datasets concerning contaminants are automatically harvested and the resulting collections are harmonised and validated using ODV Software and following a common methodology for all sea regions ( https://doi.org/10.6092/8b52e8d7-dc92-4305-9337-7634a5cae3f4). Parameter names are based on P01 vocabulary, which relates to BODC Parameter Usage Vocabulary and is available at: https://vocab.nerc.ac.uk/search_nvs/P01/.
The harmonised dataset can be downloaded as as an ODV spreadsheet, which is composed of a metadata header followed by tab separated values. This spreadsheet can be imported into ODV Software for visualisation (more information can be found at: https://www.seadatanet.org/Software/ODV). In addition, the same dataset is offered also as a txt file in a long/vertical format, in which each P01 measurement is a record line. Additionally, there are a series of columns that split P01 terms into subcomponents (substance, CAS number, matrix...).This transposed format is more adapted to worksheet applications (e.g. LibreOffice Calc).","https://emodnet-chemistry.webodv.awi.de/; 
https://nodc.ogs.it/repository/aggregated-datasets/contaminants/EMD_Contaminants_Baltic_2023_unrestricted.zip; 
https://doi.org/10.6092/8b52e8d7-dc92-4305-9337-7634a5cae3f4; 
https://doi.org/10.13120/2b36b4dd-3048-4346-abcc-f6d4e8f65179","WWW:LINK; 
WWW:DOWNLOAD-1.0-link--download; 
WWW:LINK-1.0-http--link; 
DOI"
Baltic Sea - DIVA 4D 6-year analysis of Water body ammonium 1980/2016 v2018,"Moving 6-year analysis of Water body ammonium in the Baltic Sea. Four seasons (March-May, June-August, September-November, December-February). Every year of the time dimension corresponds to the 6-year centred average. Periods span between 1980-1985 and 2011-2016. Analyses for depths (m) (HELCOM standard depths): 0, 5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100, 125, 150, 175, 200, 225, 250, 275, 300. 
Data Sources: observational data from SeaDataNet/EMODnet Chemistry Data Network. Description of DIVA analysis: Geostatistical data analysis by DIVA (Data-Interpolating Variational Analysis) tool. GEBCO_08 Grid (30 arc-seconds) topography is used for the contouring preparation. Files contain analysed fields, error fields and combined field with the deepest value for each grid point selected. Also pre-masked fields using relative error threshold 0.3 and 0.5 are included. In the analyses the Correlation length and Signal to noise ratio were fixed to 0.7 and 1.0 respectively. Background fields were created using all data (1980-2016) for the given season. Log transformation (option 11) was used in the analyses. No detrending, advection constraints or weighting are applied. Unit is umol/l.","http://ec.oceanbrowser.net/emodnet/Python/web/wms?SERVICE=WMS&amp;REQUEST=GetCapabilities&amp;VERSION=1.3.0; 
http://ec.oceanbrowser.net/emodnet/Python/web/wms?SERVICE=WMS&amp;REQUEST=GetCapabilities&amp;VERSION=1.3.0; 
http://ec.oceanbrowser.net/emodnet/Python/web/wms?SERVICE=WMS&amp;REQUEST=GetCapabilities&amp;VERSION=1.3.0; 
http://ec.oceanbrowser.net/emodnet/Python/web/wms?SERVICE=WMS&amp;REQUEST=GetCapabilities&amp;VERSION=1.3.0; 
http://ec.oceanbrowser.net/emodnet/Python/web/wms?SERVICE=WMS&amp;REQUEST=GetCapabilities&amp;VERSION=1.3.0; 
http://ec.oceanbrowser.net/emodnet/Python/web/wms?SERVICE=WMS&amp;REQUEST=GetCapabilities&amp;VERSION=1.3.0; 
http://ec.oceanbrowser.net/emodnet/Python/web/wms?SERVICE=WMS&amp;REQUEST=GetCapabilities&amp;VERSION=1.3.0; 
http://ec.oceanbrowser.net/emodnet/Python/web/wms?SERVICE=WMS&amp;REQUEST=GetCapabilities&amp;VERSION=1.3.0; 
http://doi.org/10.6092/79dfd904-bb19-4581-bb6e-2b33e00acfb9; 
http://opendap.oceanbrowser.net/thredds/dodsC/data/emodnet-domains/Baltic Sea/Winter (December-February) - 6-years running averages/Water_body_ammonium.4Danl.nc.html; 
http://opendap.oceanbrowser.net/thredds/dodsC/data/emodnet-domains/Baltic Sea/Spring (March-May) - 6-years running averages/Water_body_ammonium.4Danl.nc.html; 
http://opendap.oceanbrowser.net/thredds/dodsC/data/emodnet-domains/Baltic Sea/Summer (June-August) - 6-years running averages/Water_body_ammonium.4Danl.nc.html; 
http://opendap.oceanbrowser.net/thredds/dodsC/data/emodnet-domains/Baltic Sea/Autumn (September-November) - 6-years running averages/Water_body_ammonium.4Danl.nc.html","OGC:WMS; 
OGC:WMS; 
OGC:WMS; 
OGC:WMS; 
OGC:WMS; 
OGC:WMS; 
OGC:WMS; 
OGC:WMS; 
WWW:DOWNLOAD-1.0-link--download; 
WWW:DOWNLOAD-1.0-link--download; 
WWW:DOWNLOAD-1.0-link--download; 
WWW:DOWNLOAD-1.0-link--download"
Baltic Sea - DIVAnd 6-year seasonal analysis of Water body chlorophyll-a 1974/2021 v2023,"Running 6-year analysis of Water body chlorophyll-a in the Baltic Sea. 
    Four seasons (March-May, June-August, September-November, December-February). 
    Every year of the time dimension corresponds to a 6-year centred average. 
    Periods span between 1974-2021. 
    Analyses for depths (m) (HELCOM standard depths): 0, 5, 10, 15, 20, 30.
    
    Data Sources: observational data from SeaDataNet/EMODnet Chemistry Data Network. 
    Description of DIVA analysis: Geostatistical data analysis by DIVAnd (Data-Interpolating Variational Analysis in n dimensions) tool. 
    GEBCO_08 Grid (30 arc-seconds) topography is used for the contouring preparation. 
    Files contain analysed fields, error fields and combined field with the deepest value for each grid point selected. 
    Also pre-masked fields using relative error threshold 0.3 and 0.5 are included. 
    In the analyses the horizontal correlation length is fixed to 80 km and decreasing towards the coastline, 
    the vertical correlation length is varying with depth.
    Signal to noise ratio is fixed to 1.0. 
    Background fields were created using data for the given time period and season. 
    Log transformation was used in the analyses. No detrending, advection constraints or weighting are applied. 
    Unit is mg/m3.","http://ec.oceanbrowser.net/emodnet/Python/web/wms?SERVICE=WMS&REQUEST=GetCapabilities&VERSION=1.3.0; 
http://ec.oceanbrowser.net/emodnet/Python/web/wms?SERVICE=WMS&REQUEST=GetCapabilities&VERSION=1.3.0; 
https://emodnet.ec.europa.eu/geoviewer/; 
https://doi.org/10.13120/e1da99a3-037f-455d-bf65-2fe85337ca43; 
http://opendap.oceanbrowser.net/thredds/dodsC/data/emodnet-domains/By_sea_regions/Baltic_Sea/Water_body_chlorophyll-a.4Danl.nc.html; 
http://ec.oceanbrowser.net/data/emodnet-domains/By_sea_regions/Baltic_Sea/Water_body_chlorophyll-a.4Danl.nc","OGC:WMS; 
OGC:WMS; 
WWW:LINK; 
DOI; 
WWW:DOWNLOAD-1.0-link--download; 
WWW:DOWNLOAD-1.0-link--download"
